Image 0,Image 1,"Homography Matrix[0,0]","[0,1]","[0,2]","[1,0]","[1,1]","[1,2]","[2,0]","[2,1]","[2,2]",Features Tracked,xmean,ymean,xsd,ysd,Mean Error Magnitude,Mean Homographic displacement,Homography SNR
2021_07_13.CR2,2021_07_15.CR2,0.99958944865719,-0.0010054297628564529,5.826576230088048,-0.0005806680870553354,1.0033947801952598,-4.290244327440171,-3.555407338473778e-07,3.163793121996629e-07,1.0,523,14.33671029655388,-1.4408728713214398,120.75909743769276,10.527740825217956,15.808282028748016,4.334349221855004,1.9335240671198952
2021_07_15.CR2,2021_07_16.CR2,1.001675294045542,0.00035456766320091093,-1.120858134145153,0.0003942924364955841,1.0034463429093332,-4.672233115163351,2.6370354514366373e-07,2.804877169958936e-07,1.0,396,-13.880760232877863,1.1300714159086815,253.93824670595922,17.940343802420742,16.818208006109195,0.9269061869472666,6.16134033274387
2021_07_16.CR2,2021_07_17.CR2,1.0009128272300893,0.0006099342858495677,-1.6990917785494646,0.00028247096675427955,1.0015551425238067,-1.2589728031247673,1.1808703336580796e-07,2.1105008059952801e-07,1.0,2253,73.53163426941617,-34.79407089590688,3368.9451156431583,1705.4721332215104,93.8930268518122,1.3445448138571354,2.530702996915325
2021_07_17.CR2,2021_07_18.CR2,0.999771097917982,0.0005518226166763159,0.1840353616089689,4.61551274191847e-05,0.9998990742680888,-0.2191544983114379,2.368247065259779e-08,1.2585030906503417e-07,1.0,596,-1.3569490072222776,0.06582451437331721,17.057538820820742,2.0099050882585927,3.8484006473150885,1.1069915812191018,2.7731599811621375
2021_07_18.CR2,2021_07_19.CR2,0.9992637883758869,-0.0006751633208311518,2.555803299697251,-0.0003241121627371529,1.0004135316308311,-0.33773936820752937,-2.919443495456768e-07,3.7102839571160456e-07,1.0,1414,-88.5423831336244,7.379721674547235,3208.1732801382004,251.1753680106598,98.42816633277438,4.845133453839225,3.6500094748175727
2021_07_19.CR2,2021_07_20.CR2,1.0003630272685815,-0.0006487372123253067,-0.2951212928973407,0.00016497520628373162,0.9998019865800093,0.3238955784244466,1.3162890349761e-07,-2.841015943481044e-07,1.0,2483,-96.92063009893795,-2.9322019069744982,5374.992138508852,165.3759755015489,124.9662027986553,1.8090566292320232,2.008795966020018
2021_07_20.CR2,2021_07_21.CR2,1.0005695223936013,0.0011511028710446685,-1.2116370807631796,-0.0005831418734330246,1.002769281435461,-2.1909472774586263,-3.808768401511515e-07,9.268387966833764e-07,0.9999999999999999,1999,21.573235838908925,-3.33078262787056,753.9039032870758,135.29787111123022,23.142022249600483,3.785029259389613,1.5722061510719771
2021_07_21.CR2,2021_07_24.CR2,0.9994813650042709,0.00047980733022305496,-0.7323948744635925,-3.6467172341158754e-05,1.000025072250166,1.326865838533904,-2.105812768050077e-08,-1.0379992174258688e-07,1.0,1264,-9.792208959470619,-0.07898871775778968,342.3494843152384,29.290432746582272,22.922285585180944,1.8621861582710981,6.203231782175194
2021_07_24.CR2,2021_07_25.CR2,1.000400068939213,3.446612058795637e-05,-0.3578074646801122,-0.00025403535997873606,1.001017542764774,-1.1635012867675938,-1.1915283130140613e-07,4.128530508579094e-07,1.0,1543,-16.698322051117692,0.8169622583479138,809.5558148394769,44.03897942794556,32.31175696852483,1.004266060982009,36.03921633058972
2021_07_25.CR2,2021_07_26.CR2,1.003780954451303,0.006811841794694872,-9.942675083224696,-0.002127211620431366,1.0129851335741067,-9.339984662768249,-1.479100735605755e-06,4.140081008885654e-06,1.0,1797,25.00812450311634,-3.317884334203448,1158.2627900539958,149.69622690983445,50.853348149013236,8.579164104920416,1.2525651857886397
2021_07_26.CR2,2021_07_27.CR2,1.0005909081532012,0.0004757562143105365,-0.7242947865545121,0.00038977390925559887,1.0010556436661744,-2.2663948925158173,1.2333729093951995e-07,1.8137915419219403e-07,1.0,2212,-1.5883567488613195,0.5929598315822784,3031.563069606483,381.3921676685673,107.54377010485523,3.064075617520157,1.8630306249220288
2021_07_27.CR2,2021_07_28.CR2,0.9971109562008541,-0.004078205061892597,7.239824500507924,-0.00039416792621896574,0.9962849769407293,4.102784839279024,-3.228378429182626e-07,-1.1299557831946888e-06,1.0,232,0.20936023470825219,-0.5536162784057587,9.17487142290779,4.164244906436475,4.167190278436477,1.3807936419079214,3.1736524422660413
2021_07_28.CR2,2021_07_29.CR2,0.9998528272955578,-0.0008286657208479214,0.34545325083641293,-2.7803449199451983e-05,0.9991730765837115,1.2334412394827174,2.2163953205887558e-08,-3.7133816811264465e-07,1.0,7265,117.94699641319188,7.833766208377967,6463.168973436737,2129.8254333359687,161.72979690857656,3.174859916048616,2.1691934167764133
2021_07_29.CR2,2021_07_30.CR2,1.0003679229036497,0.0027887481188585777,-2.6701402777446597,-0.0002561002600795783,1.0026894228655128,-2.90405377382508,-1.9292884546923655e-07,1.0647402789518367e-06,1.0,966,1118.1447911357293,620.9228526162333,32396.728462633033,21528.53094077783,1580.5874364793674,27.142731771296226,483.32814023503664
2021_07_30.CR2,2021_07_31.CR2,1.0036600630594659,0.004391555778238177,-5.741023615334753,-0.0005040959485380388,1.0088089002036436,-6.143728120479591,-3.5968074881369015e-07,3.291875850704897e-06,1.0,997,1.465801691770254,-0.04570658304756523,156.66024200133177,3.437457630626638,11.395403111951211,1.557776878823131,1.90268785174626
2021_07_31.CR2,2021_08_01.CR2,1.001014084916573,0.0012637125180852901,-1.880473251861008,0.0003456439300681603,1.001971909283124,-1.6164170443212926,2.070765952039696e-07,3.6087251401969875e-07,1.0,1145,-67.32282152803198,-1.1182119686503034,2237.0458039590308,45.634291045676896,76.78476728543417,0.8647720798252224,155.6380788791643
